code_range,ICD9_description_complete,ICD9_description
001-139,INFECTIOUS AND PARASITIC DISEASES,Infectous
140-239,NEOPLASMS,Neoplasm
240-279,"ENDOCRINE, NUTRITIONAL AND METABOLIC DISEASES, AND IMMUNITY DISORDERS",Metabolic
280-289,DISEASES OF THE BLOOD AND BLOOD-FORMING ORGANS,Blood_disease
290-319,"MENTAL, BEHAVIORAL AND NEURODEVELOPMENTAL DISORDERS",Mental_Neuronal
320-389,DISEASES OF THE NERVOUS SYSTEM AND SENSE ORGANS,Nervous_system
390-459,DISEASES OF THE CIRCULATORY SYSTEM,Circulatory_system
460-519,DISEASES OF THE RESPIRATORY SYSTEM,Resipiratory_system
520-579,DISEASES OF THE DIGESTIVE SYSTEM,Digestive_system
580-629,DISEASES OF THE GENITOURINARY SYSTEM,Genitourinary_system
630-679,"COMPLICATIONS OF PREGNANCY, CHILDBIRTH, AND THE PUERPERIUM",Pregnancy
680-709,DISEASES OF THE SKIN AND SUBCUTANEOUS TISSUE,Skin_disease
710-739,DISEASES OF THE MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE,Muscoloskeletal
740-759,CONGENITAL ANOMALIES,Congenital
760-779,CERTAIN CONDITIONS ORIGINATING IN THE PERINATAL PERIOD,Perinatal
780-799,"SYMPTOMS, SIGNS, AND ILL-DEFINED CONDITIONS",Ill_defined_conditions
800-999,INJURY AND POISONING,Injury_poison
E000-E999,SUPPLEMENTARYCLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING,Sup_injury_poison_E
V01-V91,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES,Sup_factors_V
